5141.EFNCRP00000007282	GO:0004476,GO:0031505
9913.ENSBTAP00000026812	GO:0001726,GO:0005547,GO:0005829,GO:0008360,GO:0030027,GO:0030705,GO:0030898,GO:0032433,GO:0051015,GO:0051489,GO:0060002
3702.AT5G56210.1	GO:0005635,GO:0006997,GO:0009504
9606.ENSP00000303554	GO:0004726,GO:0005737
9031.ENSGALP00000032170	GO:0002250,GO:0004715,GO:0050853
9606.ENSP00000311273	GO:0005929
9606.ENSP00000303550	GO:0005102,GO:0005615,GO:0007165
7227.FBpp0081194	GO:0001709,GO:0003700,GO:0005634,GO:0007494,GO:0009790,GO:0035284,GO:0045944
4932.YJR137C	GO:0000097,GO:0000103,GO:0009337
9606.ENSP00000379754	GO:0045111
9606.ENSP00000376914	GO:0000139,GO:0004871,GO:0005388,GO:0005509,GO:0005524,GO:0005794,GO:0005802,GO:0006874,GO:0008544,GO:0015410,GO:0016339,GO:0030026,GO:0030145,GO:0031532,GO:0032468,GO:0032472,GO:0043123
9606.ENSP00000382271	GO:0000086,GO:0005634,GO:0005813,GO:0005829,GO:0051298
316407.4062603	GO:0009279,GO:0022610,GO:0044010,GO:0071806
316407.4062602	GO:0009279,GO:0022610,GO:0044010
316407.4062601	GO:0009279,GO:0022610,GO:0044010,GO:0071806
4932.YBL003C	GO:0000788,GO:0003677,GO:0006281,GO:0006333,GO:0031298
4896.SPAC57A10.05c.1	GO:0005634,GO:0007346,GO:0019005,GO:0042787,GO:0071276
9606.ENSP00000265627	GO:0019439,GO:0042803,GO:0046395
316407.85676905	GO:0006113,GO:0009055,GO:0009061
9606.ENSP00000317300	GO:0005789,GO:0006654,GO:0019432,GO:0036148,GO:0036150,GO:0036151,GO:0036152
10090.ENSMUSP00000030158	GO:0007017
9606.ENSP00000361066	GO:0003713,GO:0004402,GO:0005634,GO:0005737,GO:0035624,GO:0045618,GO:0045944
3702.AT2G37090.1	GO:0005794,GO:0009834,GO:0010417,GO:0042285
9606.ENSP00000361064	GO:0005788,GO:0006797,GO:0008969,GO:0034417,GO:0043647
10090.ENSMUSP00000030154	GO:0005739
7227.FBpp0072535	GO:0003680,GO:0003700,GO:0005634,GO:0005700,GO:0006351,GO:0007455,GO:0007478,GO:0061040
10090.ENSMUSP00000030152	GO:0002177,GO:0043014,GO:0043623,GO:0048471
5141.EFNCRP00000004488	GO:0004084,GO:0005759,GO:0009082,GO:0009083,GO:0034641
262724.TTC1012	GO:0019878,GO:0047046
9606.ENSP00000305810	GO:0005783,GO:0006888
5141.EFNCRP00000008106	GO:0005634,GO:0010499,GO:0019773,GO:0034515,GO:0042175,GO:0043161
9606.ENSP00000354159	GO:0000287,GO:0005524,GO:0006919,GO:0016045,GO:0035872,GO:0042742,GO:0042803,GO:0043065,GO:0045087,GO:0050702,GO:0051092
9606.ENSP00000354158	GO:0007252,GO:0008385,GO:0042734,GO:0051092
3702.AT5G53400.1	GO:0005829,GO:0006457,GO:0009408,GO:0009555,GO:0009880,GO:0009965,GO:0010450,GO:0048448,GO:0048833
7227.FBpp0089291	GO:0000977,GO:0004879,GO:0005634,GO:0022008,GO:0035002,GO:0035071,GO:0045089,GO:0050829
10090.ENSMUSP00000003569	GO:0004790,GO:0005829
10090.ENSMUSP00000003568	GO:0005179,GO:0005783,GO:0005794,GO:0007186,GO:0009986,GO:0015056,GO:0016525,GO:0043950,GO:0043951
1148.SYNGTS_1372	GO:0010106,GO:0030094
9606.ENSP00000326272	GO:0005634,GO:0007507,GO:0043565
4896.SPBC1E8.05.1	GO:0005739
511145.b4359	GO:0006490,GO:0008960,GO:0016020,GO:0042597
511145.b4358	GO:0034195
4932.YPR007C	GO:0000780,GO:0007130,GO:0007131,GO:0051177,GO:0071459
511145.b4355	GO:0006935,GO:0007165,GO:0048870
511145.b4354	GO:0006974,GO:0016021
511145.b4357	GO:0019584
511145.b4356	GO:0042873
511145.b4351	GO:0015666
9606.ENSP00000264670	GO:0005730,GO:0005737,GO:0016428
511145.b4353	GO:0006974
4932.YOL109W	GO:0019897,GO:0031505
5141.EFNCRP00000007827	GO:0008106
9606.ENSP00000302961	GO:0005634,GO:0045040,GO:0051131
4896.SPAC25B8.03.1	GO:0004609,GO:0005635,GO:0006646
3702.AT3G52800.1	GO:0010200
9606.ENSP00000293777	GO:0016592
10090.ENSMUSP00000071881	GO:0003729,GO:0005737,GO:0010468
9606.ENSP00000293778	GO:0005044,GO:0005615,GO:0030307,GO:0030335,GO:0034341,GO:0034612
4932.YPR122W	GO:0004222,GO:0005935,GO:0007120,GO:0007323,GO:0043332
3702.AT3G43810.1	GO:0010099,GO:0019722
316407.85676606	GO:0046316
4932.YFR052W	GO:0006511,GO:0008541,GO:0034515
10116.ENSRNOP00000025462	GO:0004177,GO:0004197,GO:0005764,GO:0005902,GO:0006508,GO:0007283,GO:0009267,GO:0009749,GO:0009897,GO:0010259,GO:0021675,GO:0034698,GO:0042277,GO:0043005,GO:0043204,GO:0046697,GO:0048102,GO:0051384,GO:0060008
7955.ENSDARP00000040327	GO:0006974
7227.FBpp0305507	GO:0001661,GO:0007268,GO:0007614,GO:0007619,GO:0008355,GO:0040040,GO:0046331,GO:0046958,GO:0048477,GO:0048675
5061.CADANGAP00006979	GO:0009055,GO:0016491,GO:0043231
10116.ENSRNOP00000064741	GO:0005212
9606.ENSP00000250111	GO:0005391,GO:0005886,GO:0007596,GO:0050900
9606.ENSP00000250113	GO:0003723,GO:0022625
6239.C48D5.2a	GO:0016529
9606.ENSP00000319060	GO:0005654,GO:0005829,GO:0005886,GO:0005954,GO:0007268,GO:0014733,GO:0030666,GO:0051924,GO:0060333
10090.ENSMUSP00000107848	GO:0005886,GO:0045121,GO:0051612,GO:2000009
9031.ENSGALP00000021475	GO:0006099
9606.ENSP00000348565	GO:0005737,GO:0016235,GO:0034976,GO:0043231,GO:0071566,GO:0071569
7227.FBpp0075543	GO:0035094
3702.AT5G51660.1	GO:0005634,GO:0005829
9606.ENSP00000310657	GO:0000139,GO:0005975,GO:0006024,GO:0016021,GO:0044281
10116.ENSRNOP00000026844	GO:0002147,GO:0005634,GO:0005737
3702.AT2G26240.1	GO:0005739
7227.FBpp0087921	GO:0007095
3702.AT1G15700.1	GO:0009544,GO:0015986,GO:0030234,GO:2000067
10090.ENSMUSP00000087478	GO:0001578,GO:0008017,GO:0015630
10116.ENSRNOP00000025796	GO:0022627
10090.ENSMUSP00000073953	GO:0000122,GO:0001701,GO:0002053,GO:0002329,GO:0002639,GO:0003682,GO:0003705,GO:0005634,GO:0007519,GO:0008045,GO:0021517,GO:0033152,GO:0045214,GO:0045944,GO:0048745,GO:0050679,GO:0055007,GO:0060043,GO:0061140,GO:1901250,GO:2000727
10116.ENSRNOP00000025794	GO:0001666,GO:0003677,GO:0009409,GO:0010042,GO:0010043,GO:0010269,GO:0014823,GO:0019430,GO:0019825,GO:0032496,GO:0033591,GO:0034021,GO:0035900,GO:0035902,GO:0042493,GO:0042542,GO:0042645,GO:0042802,GO:0043066,GO:0046686,GO:0050665,GO:0051260,GO:0051602,GO:0071000,GO:0071361
4932.YMR121C	GO:0002181,GO:0003723,GO:0003735,GO:0022625
4932.YML029W	GO:0000398,GO:0000839,GO:0030433,GO:0032461,GO:0032947
7227.FBpp0072538	GO:0003680,GO:0003700,GO:0005634,GO:0006351,GO:0007455,GO:0007478,GO:0046660,GO:0048071
10090.ENSMUSP00000070280	GO:0005518,GO:0005604,GO:0010811
9606.ENSP00000377372	GO:0007205,GO:0009611,GO:0031527,GO:0051489
9606.ENSP00000055335	GO:0005979,GO:0016020,GO:2000465,GO:2001069
10090.ENSMUSP00000081455	GO:0001934,GO:0005737,GO:0010976,GO:0030036,GO:0044306
9606.ENSP00000310891	GO:0008955,GO:0015020,GO:0019276,GO:0030206,GO:0046398,GO:0047237,GO:0047238,GO:0050653
9606.ENSP00000395473	GO:0004559,GO:0006517
10090.ENSMUSP00000070759	GO:0005739
9606.ENSP00000292427	GO:0004507,GO:0005743,GO:0006805,GO:0006955,GO:0008217,GO:0016125,GO:0020037,GO:0032342,GO:0032870,GO:0034651,GO:0035865,GO:0042593
10090.ENSMUSP00000039990	GO:0005381,GO:0005743,GO:0048250
316385.ECDH10B_4083	GO:0009061,GO:0016020
316385.ECDH10B_4082	GO:0006974,GO:0009061
316385.ECDH10B_4081	GO:0005737,GO:0008199,GO:0051604
10090.ENSMUSP00000070751	GO:0002080
4932.YLR308W	GO:0004099,GO:0030476
316385.ECDH10B_4085	GO:0008863,GO:0009061
316385.ECDH10B_4084	GO:0005737,GO:0006974,GO:0009061,GO:0016020,GO:0043546
9606.ENSP00000263967	GO:0001944,GO:0005943,GO:0007173,GO:0008543,GO:0016303,GO:0030168,GO:0031295,GO:0038028,GO:0038095,GO:0038096,GO:0043542,GO:0044281,GO:0045087,GO:0046934,GO:0048011,GO:0048015,GO:0050852,GO:0050900,GO:0060048,GO:2000811
9606.ENSP00000263966	GO:0004197,GO:0004221,GO:0004843,GO:0006355,GO:0008283,GO:0010506,GO:0030318,GO:0043130,GO:0050821,GO:0070536
3702.AT5G59160.1	GO:0004722,GO:0006470
316407.1736626	GO:0052621,GO:1902201
7955.ENSDARP00000054806	GO:0021794
316407.1736628	GO:0022857
316407.1736629	GO:0003677,GO:0006298,GO:0043765
5062.CADAORAP00001431	GO:0005739,GO:0005829,GO:0008941,GO:0042602,GO:0071500
4932.YOL032W	GO:0006020
4932.YIR008C	GO:0003896,GO:0005658,GO:0006270,GO:0006273
192222.Cj1129c	GO:0016758,GO:0018279
3702.AT5G44130.1	GO:0005794,GO:0009505,GO:0009506,GO:0046658
3702.AT1G19300.1	GO:0005783,GO:0010051,GO:0010417,GO:0032504,GO:0048366,GO:0052386
4932.YHL006C	GO:0000725,GO:0005730,GO:0043007,GO:0097196
9606.ENSP00000372005	GO:0005739,GO:0007601,GO:0048806
10090.ENSMUSP00000004936	GO:0005125,GO:0006935,GO:0045766,GO:0050729,GO:2000418
4932.YCR005C	GO:0004108,GO:0005777,GO:0006097,GO:0006101,GO:0006537
6239.C53A5.3.2	GO:0000122,GO:0004407,GO:0005737,GO:0008406,GO:0009792,GO:0016581,GO:0040027,GO:0043073,GO:0045138,GO:0045595,GO:0045746,GO:0046580,GO:0048557
9606.ENSP00000267017	GO:0005102,GO:0005576,GO:0007218,GO:0007268
272561.CT868	GO:0000338,GO:0004843,GO:0016579,GO:0019784
6239.C48D1.2a	GO:0004197,GO:0009792,GO:0016020,GO:0016540,GO:0030972,GO:0048471
10090.ENSMUSP00000068309	GO:0008344
10090.ENSMUSP00000081989	GO:0008104,GO:0016023
3702.AT1G79820.1	GO:0005768,GO:0005794,GO:0005802
5062.CADAORAP00000523	GO:0030600
7227.FBpp0074739	GO:0005875
272561.CT867	GO:0000338,GO:0004843,GO:0016579,GO:0019784
3702.AT1G54350.1	GO:0009507
10090.ENSMUSP00000083587	GO:0001772,GO:0002457,GO:0007159,GO:0009897,GO:0030155,GO:0033627,GO:0071333
4896.SPAPB8E5.05.1	GO:0000747,GO:0000772,GO:0010514,GO:0045836,GO:1900237
4932.YJR096W	GO:0004032,GO:0019568,GO:0034599,GO:0042843
9606.ENSP00000248633	GO:0005524,GO:0005634,GO:0005778,GO:0005829,GO:0016558,GO:0032403,GO:0042623,GO:0060152
9606.ENSP00000335062	GO:0004871,GO:0005886,GO:0006915,GO:0006959,GO:0007275,GO:0031295
10090.ENSMUSP00000046910	GO:0008430,GO:0051084
10090.ENSMUSP00000132226	GO:0008233,GO:0030195
10090.ENSMUSP00000132224	GO:0000122,GO:0004842,GO:0005634,GO:0005737,GO:0043161,GO:0043433,GO:0070534
162425.CADANIAP00008938	GO:0009450,GO:0043605
4932.YMR016C	GO:0005634,GO:0005829,GO:0007124
3702.AT1G65770.1	GO:2000083
3702.AT3G44550.1	GO:0009611,GO:0009651,GO:0010345,GO:0050062
4896.SPAC29A4.15.1	GO:0005829
511145.b3965	GO:0000049,GO:0019843,GO:0030697
511145.b3963	GO:0003700,GO:0045892
3702.AT4G18430.1	GO:0005886
511145.b3961	GO:0000986,GO:0001131,GO:0006974,GO:0006979,GO:0051409,GO:2000142
511145.b3960	GO:0004056
10090.ENSMUSP00000082183	GO:0005886,GO:0007205
3702.AT1G10430.1	GO:0005634,GO:0005829,GO:0005886,GO:0006470,GO:0009903,GO:0034613
4932.YLR182W	GO:0001105,GO:0005737,GO:0010845,GO:0030907,GO:0033309,GO:0061408,GO:0071931
4896.SPAC1952.07.1	GO:0005829,GO:0006281,GO:0007095,GO:0030896,GO:0031573,GO:0033314,GO:0035861
9606.ENSP00000267085	GO:0000098,GO:0034641
9606.ENSP00000299766	GO:0004980,GO:0005886,GO:0007188,GO:0007631,GO:0016021,GO:0030819,GO:0042923,GO:0045780
10090.ENSMUSP00000099606	GO:0003677,GO:0005912,GO:0010467,GO:0030838,GO:0035136,GO:0035137,GO:0048705,GO:0051127
9606.ENSP00000399518	GO:0000122,GO:0003690,GO:0006325,GO:0006921,GO:0016605
9606.ENSP00000267082	GO:0007155,GO:0008305,GO:0050776
4896.SPCC737.08.1	GO:0005634,GO:0044732
9606.ENSP00000233607	GO:0005794,GO:0005881,GO:0005884,GO:0008013,GO:0016342,GO:0031258,GO:0035414,GO:0048471,GO:0090090
3702.AT3G60190.1	GO:0005739,GO:0005774,GO:0005886,GO:0009506,GO:0046686,GO:0050832
3702.AT4G34138.1	GO:0080043,GO:0080044
9606.ENSP00000408464	GO:0005829,GO:0007596
4932.YCR088W	GO:0000147,GO:0008104,GO:0030479,GO:0051015
44689.DDB0238106	GO:0030289
316385.ECDH10B_3886	GO:0000731,GO:0009411
316385.ECDH10B_3887	GO:0005829,GO:0006271,GO:0006974
4896.SPAC6F12.02.1	GO:0000978,GO:0001077,GO:0005634,GO:0005829,GO:0006111,GO:0031142,GO:0031670
4932.YOR208W	GO:0000173,GO:0000200,GO:0004725,GO:0005634,GO:0032880,GO:0043937
316385.ECDH10B_3883	GO:0000287,GO:0050308
316385.ECDH10B_3880	GO:0008671,GO:0034194
5061.CADANGAP00005537	GO:0005622
9606.ENSP00000247182	GO:0003700,GO:0005730,GO:0034504,GO:0043565,GO:0044212,GO:0045944
9606.ENSP00000257836	GO:0005794
10090.ENSMUSP00000032262	GO:0005887,GO:0007166,GO:0030220
9606.ENSP00000236826	GO:0004252,GO:0005615,GO:0006508,GO:0008270,GO:0022617,GO:0030574
4932.YPL207W	GO:0031591
3702.AT1G68800.1	GO:0005634,GO:2000032
3702.AT2G37250.1	GO:0004017,GO:0005634,GO:0008652,GO:0009570,GO:0048364,GO:0048367
9031.ENSGALP00000024371	GO:0001502,GO:0005912,GO:0050840,GO:0060173
316385.ECDH10B_0502	GO:0006974,GO:0046677
10090.ENSMUSP00000101660	GO:0009617,GO:0034122,GO:0042060,GO:0043124,GO:0043409,GO:0050727,GO:0050777
316385.ECDH10B_0501	GO:0030288
316385.ECDH10B_0506	GO:0006281,GO:0008821,GO:0010844,GO:0048476
162425.CADANIAP00005515	GO:0009082
316385.ECDH10B_0508	GO:0003677,GO:0044010
3702.AT3G56070.1	GO:0005739,GO:0005794,GO:0046686
9606.ENSP00000317686	GO:0005737,GO:0008584,GO:0008585
10090.ENSMUSP00000105173	GO:0001657,GO:0005578,GO:0007507
10090.ENSMUSP00000073228	GO:0003779,GO:0005916,GO:0005927,GO:0030016,GO:0030036,GO:0051371
228410.NE2339	GO:0016491,GO:0019331
10090.ENSMUSP00000073221	GO:0005737
10090.ENSMUSP00000001147	GO:0031012,GO:0042383,GO:0071230
3702.AT3G27170.1	GO:0009671,GO:0009705
9606.ENSP00000363575	GO:0005886,GO:0034220
4896.SPBC19F5.02c.1	GO:0005819
4932.YNR018W	GO:0031305,GO:0033617,GO:0097249
9606.ENSP00000310701	GO:0003700,GO:0005654,GO:0006367,GO:0035329
9606.ENSP00000352121	GO:0001816,GO:0002250,GO:0002407,GO:0002679,GO:0004672,GO:0005944,GO:0006954,GO:0007186,GO:0010818,GO:0014065,GO:0030593,GO:0033628,GO:0035747,GO:0042098,GO:0043303,GO:0043406,GO:0044281,GO:0045087,GO:0051897,GO:0055118,GO:0070527,GO:0072672
4896.SPAC23H4.03c.1	GO:0005783
190650.CC_2581	GO:0005886
10116.ENSRNOP00000028445	GO:0015701,GO:0016323,GO:0030018
10116.ENSRNOP00000041042	GO:0003677
3702.AT2G47580.1	GO:0005685,GO:0005730,GO:0005829,GO:0009651
7227.FBpp0302861	GO:0051297
3702.AT3G22900.1	GO:0000418
6239.C07A9.3b	GO:0000790,GO:0004674,GO:0006357,GO:0045860,GO:0046777
3702.AT1G51260.1	GO:0003841
4932.YBR221C	GO:0004739,GO:0005967,GO:0006086,GO:0042645
10090.ENSMUSP00000056530	GO:0009649
4896.SPAC8F11.05c.1	GO:0005739
4896.SPBC1718.03.1	GO:0005736,GO:0006360
246196.MSMEG_1825	GO:0008831,GO:0045226
9606.ENSP00000294064	GO:0005887,GO:0006689,GO:0009313,GO:0044281
3702.AT5G53250.1	GO:0031225
9606.ENSP00000294066	GO:0000139,GO:0004674,GO:0005524,GO:0006955,GO:0007257,GO:0046330
3702.AT3G16785.1	GO:0048364
3702.AT1G80900.1	GO:0015095
9606.ENSP00000332591	GO:0003151,GO:0003214,GO:0004983,GO:0005246,GO:0005887,GO:0007193,GO:0007626
10090.ENSMUSP00000100041	GO:0000979,GO:0001077,GO:0001158,GO:0001701,GO:0001709,GO:0001764,GO:0001823,GO:0002088,GO:0002572,GO:0003180,GO:0003215,GO:0003281,GO:0005634,GO:0006959,GO:0007411,GO:0008584,GO:0009791,GO:0010975,GO:0014065,GO:0030218,GO:0031929,GO:0032689,GO:0032703,GO:0032736,GO:0032753,GO:0032754,GO:0035162,GO:0035799,GO:0035898,GO:0042035,GO:0042421,GO:0042472,GO:0043370,GO:0043523,GO:0045061,GO:0045064,GO:0045582,GO:0046983,GO:0048469,GO:0048485,GO:0048538,GO:0048589,GO:0050852,GO:0051569,GO:0060017,GO:0060037,GO:0060065,GO:0060374,GO:0060676,GO:0061085,GO:0061290,GO:0071353,GO:0071599,GO:0071773,GO:0072107,GO:0072179,GO:0072182,GO:0072602,GO:0072643,GO:2000114,GO:2000607,GO:2000679,GO:2000703,GO:2000734
10090.ENSMUSP00000100046	GO:0043022
10090.ENSMUSP00000100045	GO:0004032
9606.ENSP00000332049	GO:0005886,GO:0007173,GO:0007267,GO:0008284,GO:0008543,GO:0016021,GO:0031295,GO:0038095,GO:0042110,GO:0045087,GO:0048011,GO:0048015
9606.ENSP00000447001	GO:0000184,GO:0003723,GO:0006413,GO:0006414,GO:0006415,GO:0006614,GO:0019083,GO:0022625
9606.ENSP00000319286	GO:0005887,GO:0007597,GO:0030168
6239.K10B2.5	GO:0005737,GO:0008406,GO:0009792,GO:0048477
316385.ECDH10B_3268	GO:0019698,GO:0042840
316385.ECDH10B_3269	GO:0015134
6239.K10B2.1	GO:0005634,GO:0008285,GO:0048812
9606.ENSP00000368552	GO:0003950,GO:0005758,GO:0005759,GO:0006342,GO:0006471,GO:0006476,GO:0008270,GO:0036054,GO:0036055,GO:0070403
316385.ECDH10B_3266	GO:0005887
316385.ECDH10B_3267	GO:0008198,GO:0019698
316385.ECDH10B_3265	GO:0005295,GO:0016021,GO:0032329
4932.YPL254W	GO:0000124,GO:0003713,GO:0005671,GO:0006366,GO:0016573,GO:0046695
3702.AT3G24300.1	GO:0005886,GO:0008519,GO:0010311,GO:0080181
9606.ENSP00000237316	GO:0001078,GO:0005634
10090.ENSMUSP00000089958	GO:0001893,GO:0005634,GO:0005737,GO:0007283,GO:0008283,GO:0035613
4896.SPCC576.12c.1	GO:0000712,GO:0005829,GO:0031297,GO:0044732
9606.ENSP00000236273	GO:0000398,GO:0071013
10116.ENSRNOP00000014770	GO:0004725,GO:0005829
10090.ENSMUSP00000108716	GO:0005615,GO:0009897,GO:0051607
3702.AT5G20170.1	GO:0016592
3702.AT1G62300.1	GO:0003700,GO:0010200,GO:0016036,GO:0044212,GO:0045892,GO:0080169
4896.SPCP20C8.01c.1	GO:0005737
10090.ENSMUSP00000112277	GO:0006044,GO:0019262,GO:0050121
9606.ENSP00000447537	GO:0005758,GO:0005759,GO:0005765,GO:0006892,GO:0009060,GO:0018394,GO:0031083
9606.ENSP00000324913	GO:0005886
3702.AT4G33020.1	GO:0010043
9606.ENSP00000336741	GO:0003724,GO:0003725,GO:0005689,GO:0006397,GO:0008380
9606.ENSP00000325120	GO:0003677,GO:0003707,GO:0005654,GO:0006367,GO:0007267,GO:0010629
6239.F25D7.1.1	GO:0005769,GO:0006897,GO:0051788,GO:0097038
4896.SPBC216.05.1	GO:0000228,GO:0004674,GO:0005829,GO:0006281,GO:0007095,GO:0031573
10090.ENSMUSP00000026922	GO:0003779,GO:0005737,GO:0007216,GO:0008277,GO:0030160,GO:0035584,GO:0045177,GO:0048148,GO:0048875
10090.ENSMUSP00000026927	GO:0017110,GO:0030515
10090.ENSMUSP00000110690	GO:0001764,GO:0005886,GO:0016199,GO:0030424
4896.SPAC3G6.09c.1	GO:0005634,GO:0005829
10090.ENSMUSP00000068895	GO:0000785,GO:0001824,GO:0004198,GO:0005634,GO:0005737,GO:0006508,GO:0007520,GO:0071230
10090.ENSMUSP00000068896	GO:0003918,GO:0005730,GO:0006265,GO:0030261,GO:0040016,GO:0045944
10090.ENSMUSP00000068890	GO:0030837,GO:0030838,GO:0043195,GO:2000300
10090.ENSMUSP00000040246	GO:0042803,GO:0048839
10090.ENSMUSP00000040245	GO:0003677,GO:0003700,GO:0005634,GO:0006909,GO:0006955,GO:0030099,GO:0032729,GO:0032735,GO:0042742,GO:0042832,GO:0044130,GO:0060261,GO:0071222
9606.ENSP00000167586	GO:0005200,GO:0005634,GO:0005829,GO:0008544,GO:0031581,GO:0045095,GO:0045110
4896.SPBC19C2.05.1	GO:0000122,GO:0004674,GO:0005634,GO:0005829,GO:0010515,GO:0045835
10090.ENSMUSP00000032949	GO:0001772,GO:0006816,GO:0007015,GO:0008360,GO:0030335,GO:0030595,GO:0030833,GO:0032796,GO:0042102,GO:0042802,GO:0043029,GO:0048873,GO:0051015,GO:0071353
3702.AT3G06110.2	GO:0005634,GO:0005737,GO:0005886,GO:0007243,GO:0010193,GO:0033549,GO:0034051,GO:0034599
10116.ENSRNOP00000018559	GO:0010269
3702.AT4G35230.1	GO:0005773,GO:0005886,GO:0009506,GO:0009737,GO:0009742
9913.ENSBTAP00000017991	GO:0045429
39947.LOC_Os10g38272.1	GO:0009536
9606.ENSP00000296682	GO:0005654,GO:0006311,GO:0010845
4932.YDR453C	GO:0005737,GO:0008379,GO:0034599,GO:0045454
316407.85675407	GO:0030091,GO:0030234,GO:0051349
316407.85675406	GO:0008270
316407.85675401	GO:0008658,GO:0009002,GO:0031226
316407.85675400	GO:0009254,GO:0016803,GO:0016835,GO:0046348
9606.ENSP00000296684	GO:0001932,GO:0005747,GO:0007420,GO:0008137,GO:0019933,GO:0032981,GO:0044281,GO:0048146,GO:0051591,GO:0072593
316407.85675402	GO:0004601,GO:0005737,GO:0020037
9606.ENSP00000254901	GO:0005881
4896.SPBC651.12c.1	GO:0005634,GO:0005819,GO:0035861
3702.AT3G07420.1	GO:0005739,GO:0009507
6239.C09G4.5	GO:0000786,GO:0031519,GO:0070734
9606.ENSP00000356920	GO:0004725,GO:0005634,GO:0008270
44689.DDB0231998	GO:0030587
9606.ENSP00000320171	GO:0004743,GO:0005634,GO:0005886,GO:0012501,GO:0044281,GO:0070062
3702.AT3G15880.2	GO:0010072
9606.ENSP00000303939	GO:0005794,GO:0005887,GO:0006955,GO:0006974,GO:0009897,GO:0030889,GO:0031295,GO:0043065,GO:0045334,GO:0045590,GO:0048471,GO:0050853
7227.FBpp0293061	GO:0007052,GO:0007281,GO:0008406,GO:0015030,GO:0045495,GO:0071011,GO:0071013
10090.ENSMUSP00000103531	GO:0000146,GO:0001725,GO:0005524,GO:0005737,GO:0016459,GO:0030048,GO:0030424,GO:0030426,GO:0030898,GO:0051015
10090.ENSMUSP00000103530	GO:0001674,GO:0015030,GO:0015036
9606.ENSP00000367650	GO:0005886
3702.AT5G04810.1	GO:0009507
3702.AT1G24260.2	GO:0001708,GO:0003677,GO:0005634,GO:0010093,GO:0048481,GO:0048833
9606.ENSP00000459838	GO:2001241
39947.LOC_Osp1g00110.1	GO:0009536
4932.YPL037C	GO:0005854,GO:0006620,GO:0051082,GO:0051083
3702.AT5G16290.1	GO:0005829,GO:0006551,GO:0006573
511145.b3145	GO:0043709
511145.b3144	GO:0006974,GO:0043711
511145.b3147	GO:0009252,GO:0030234,GO:0031241
511145.b3146	GO:0000453,GO:0070677
3702.AT4G15950.1	GO:0000418,GO:0000419
511145.b3142	GO:0007155
511145.b2133	GO:0004457,GO:0005887,GO:0009055,GO:0009060,GO:0016901,GO:0019516,GO:0050660
3702.AT1G09210.1	GO:0005739,GO:0005773,GO:0005783,GO:0006979,GO:0009651,GO:0048046
511145.b3149	GO:0030174
6239.T27F2.1.2	GO:0007281,GO:0009792,GO:0018991,GO:0040011,GO:0040025,GO:0042303,GO:0060065
10090.ENSMUSP00000045036	GO:0001778,GO:0005543,GO:0005901,GO:0030947,GO:0034605
4896.SPBC146.06c.1	GO:0005634
9606.ENSP00000228841	GO:0003785,GO:0005509,GO:0005829,GO:0006942,GO:0016459,GO:0030017,GO:0030049,GO:0030308,GO:0055010
9606.ENSP00000228843	GO:0003690,GO:0003697,GO:0003723,GO:0005634,GO:0010569,GO:0071479
511145.b1232	GO:0006730,GO:0008864,GO:0009152,GO:0009257
3702.AT5G07700.1	GO:0009414,GO:0009611,GO:0009625,GO:0009733,GO:0009753,GO:0010439
3702.AT1G23360.1	GO:0009507,GO:0042372,GO:0052624
10116.ENSRNOP00000001979	GO:0005652,GO:0008270,GO:0031965,GO:0042405,GO:0044615
